mol_name,smiles,mol_weight,IC50 (nM)
644735,[H]N=c1c(C(=O)N([H])C([H])([H])c2oc([H])c([H])c2[H])c([H])c2c(=O)n3c([H])c([H])c([H])c([H])c3nc2n1C([H])([H])c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H],0.6560748000443426,0.48409059622635514
649963,[H]c1c(OC([H])([H])[H])c([H])c2c([H])c(C#N)c(N3C([H])([H])C([H])([H])C([H])([H])C3([H])[H])nc2c1[H],0.35521373232431586,0.5784065614268891
652912,[H]OC(=O)C1([H])N([H])c2c(OC([H])([H])[H])c([H])c([H])c([H])c2C2([H])C([H])=C([H])C([H])([H])C21[H],0.33764151821478994,0.48441789220857323
5295075,[H]c1c([H])c([H])c2c(c1[H])-c1c([H])c(C([H])([H])[H])nn1C([H])(c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H])N2[H],0.455525355236387,0.5784065614268891
656318,[H]N=c1c(S(=O)(=O)c2c([H])c([H])c([H])c([H])c2[H])c([H])c2c(=O)n3c([H])c([H])c([H])c([H])c3nc2n1C([H])([H])c1oc([H])c([H])c1[H],0.647206395197263,0.5506046223162123
657445,[H]c1c([H])c([H])c(C([H])([H])N([H])c2nc(N([H])C([H])([H])C([H])([H])N([H])[H])c(C#N)c3c2C([H])([H])N(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C3([H])[H])c([H])c1[H],0.6215256390817898,0.5413223598248952
657862,[H]n1c(=O)c2c3c(sc2n([H])c1=O)C([H])([H])SC(C([H])([H])[H])(C([H])([H])C([H])([H])[H])C3([H])[H],0.4143008222438143,0.5384012499722641
659293,[H]c1oc(C([H])([H])n2c(N([H])[H])c(C(=O)N([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c3nc4c([H])c([H])c([H])c([H])c4nc32)c([H])c1[H],0.6319599194131731,0.5784065614268891
659456,[H]c1oc(C(=O)N([H])c2c(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])OC([H])([H])[H])c3nc4c([H])c([H])c([H])c([H])c4nc3n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],0.7082404211423801,0.4863381165988172
660761,[H]c1oc(C([H])([H])n2c([H])nc3c(c2=O)c2nc4c([H])c([H])c([H])c([H])c4nc2n3-c2c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c2[H])c([H])c1[H],0.6332097240840064,0.5242074277169708
661575,[H]N=c1c(C(=O)N([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c2c(=O)n3c([H])c([H])c([H])c([H])c3nc2n1C([H])([H])c1oc([H])c([H])c1[H],0.6383646929837866,0.5279094805479257
662757,[H]c1oc(C([H])([H])n2c(N([H])[H])c(S(=O)(=O)c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])c3nc4c([H])c([H])c([H])c([H])c4nc32)c([H])c1[H],0.6292489805800752,0.5784065614268891
662970,[H]c1c(C([H])([H])[H])nc2c3c([H])c4c(nc3nn2c1C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H],0.35308691841628537,0.5784065614268891
663645,[H]c1oc(-c2nc3nc4c([H])c([H])c([H])c([H])c4nc3n2C([H])([H])C([H])([H])C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],0.5101278585892135,0.5784065614268891
664843,[H]N=c1c(C(=O)N([H])C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c2c(=O)n3c([H])c([H])c([H])c([H])c3nc2n1C([H])([H])c1oc([H])c([H])c1[H],0.6609946866699831,0.5365865242661395
666073,[H]c1oc(C([H])([H])N([H])c2nc3nnnn3c3sc4c(c23)C([H])([H])C([H])([H])N(C([H])([H])[H])C4([H])[H])c([H])c1[H],0.5181051338781705,0.5495450451391075
666651,[H]c1oc(C([H])([H])n2c(N([H])[H])c(S(=O)(=O)c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])c3nc4c([H])c([H])c([H])c([H])c4nc32)c([H])c1[H],0.6292489805800752,0.5784065614268891
666800,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c([H])c([H])c1C1([H])C2=C(N([H])c3c1c(=O)nc1nc(C([H])([H])[H])n([H])n31)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C2=O,0.6094230444893753,0.5198897010494128
2998964,[H]c1sc(C(=O)c2sc(N([H])C([H])([H])C([H])([H])[H])c(-c3nc4c([H])c([H])c([H])c([H])c4s3)c2N([H])[H])c([H])c1[H],0.5842549570511003,0.5553532515265311
2328662,[H]c1sc(-n2sc3c([H])c([H])c([H])c([H])c3c2=O)nc1C([H])([H])C(=O)OC([H])([H])C([H])([H])[H],0.48327895256918735,0.4550309713161899
3236020,[H]c1c([H])c(C(=O)N([H])C2([H])C([H])([H])C([H])([H])N(C(=O)OC([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c2c1SC([H])([H])C([H])([H])N2C([H])([H])[H],0.552316300981677,0.5784065614268891
5771339,[H]c1c([H])c2c3c(c(C(=O)C([H])([H])[H])c([H])c([H])c3c1[H])N([H])C(C([H])([H])[H])=N2,0.28870825009276396,0.5784065614268891
1083226,[H]N=c1c(S(=O)(=O)c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c([H])c2c(=O)n3c([H])c([H])c([H])c([H])c3nc2n1C([H])([H])c1oc([H])c([H])c1[H],0.6646365256152915,0.5515566530632972
332978,[H]c1c([H])c([H])c2c(c1[H])SC1(C(=O)N([H])c3c([H])c([H])c([H])c([H])c31)N2[H],0.3572159374837593,0.5148106568472162
2927547,[H]N=c1c(C(=S)N([H])[H])c([H])c2c(=O)n3c([H])c([H])c([H])c(C([H])([H])[H])c3nc2n1C([H])([H])C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],0.5641844210319591,0.5596185788316553
1284208,[H]c1oc(C(=O)N2C([H])([H])C([H])([H])N(c3c([H])c(C([H])(C([H])([H])[H])C([H])([H])[H])c(C#N)c4nc5c([H])c([H])c([H])c([H])c5n34)C([H])([H])C2([H])[H])c([H])c1[H],0.6227793679899057,0.5784065614268891
9601081,[H]Oc1c([H])c([H])c(N([H])c2nc3c([H])c([H])c([H])c([H])c3nc2N([H])c2c([H])c([H])c(O[H])c([H])c2C([H])([H])[H])c(C([H])([H])[H])c1[H],0.565678628107782,0.44537689959190063
743355,[H]c1oc(C([H])([H])N([H])c2c3c(c(C#N)c4nc5c([H])c([H])c([H])c([H])c5n24)C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],0.4969327020337972,0.5784065614268891
2172352,[H]C1=C(C(=O)OC([H])([H])[H])C([H])(c2c([H])c([H])c(OC([H])([H])C([H])([H])C([H])([H])[H])c([H])c2[H])C(C(=O)OC([H])([H])[H])=C([H])N1C([H])([H])C([H])([H])OC([H])([H])[H],0.5901031406611214,0.5784065614268891
796420,[H]Oc1c([H])c([H])c(/N=C(\[H])c2sc(-c3sc([H])c([H])c3[H])c([H])c2[H])c([H])c1[H],0.42003677036831416,0.5784065614268891
6852389,[H]Oc1c([H])c([H])c2c(c1O[H])-c1c([H])c([H])c([H])c3c1[C@@]([H])(N(C([H])([H])[H])C([H])([H])C3([H])[H])C2([H])[H],0.3846173680628981,0.44565994121707553
6852399,[H]Oc1c([H])c([H])c2c(c1O[H])-c1c([H])c([H])c([H])c3c1[C@]([H])(N(C([H])([H])[H])C([H])([H])C3([H])[H])C2([H])[H],0.3846173680628981,0.4617615089825839
1202611,[H]c1c([H])c(N2C3=C(C(=O)C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C3=C2C([H])([H])C([H])([H])C([H])([H])C3=O)c([H])c([H])c1OC([H])([H])[H],0.48858183833735613,0.49141112200593656
788070,[H]c1c(C([H])([H])[H])c2c([H])c3c4c(c2oc1=O)C([H])([H])C([H])([H])C([H])([H])N4C([H])([H])C([H])([H])O3,0.36374024121899673,0.5784065614268891
807083,[H]O/N=c1\oc2c([H])c([H])c(OC([H])([H])[H])c([H])c2c([H])c1C(=O)N([H])c1c([H])c([H])c([H])c([H])c1OC([H])([H])[H],0.5165021073256658,0.553159736767456
3132240,[H]c1c([H])c([H])c(-c2nc(-c3c([H])c([H])c([H])c(OC([H])([H])[H])c3OC([H])([H])[H])n([H])c2-c2c([H])c([H])c3c(c2[H])-c2c([H])c([H])c([H])c([H])c2S3(=O)=O)c([H])c1[H],0.7204644550332111,0.5784065614268891
3320815,[H]N=C1OC(C([H])([H])Sc2nc3c(c([H])c2C#N)C([H])([H])N(C([H])([H])[H])C([H])([H])C3([H])[H])=C(C(=O)OC([H])([H])[H])C([H])(c2c([H])c([H])c([H])c([H])c2F)C1([H])C#N,0.717153424546851,0.5534908071950826
1925701,[H]c1c(Br)oc(C(=O)N([H])c2c(C(=O)N([H])C([H])([H])C([H])([H])OC([H])([H])[H])c3nc4c([H])c([H])c([H])c([H])c4nc3n2C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H],0.7760531196229712,0.5784065614268891
9550027,[H]c1sc2c(c1[H])N(C([H])([H])[H])S(=O)(=O)C([H])(C(=S)N([H])c1c([H])c([H])c(F)c(Cl)c1[H])C2=O,0.6104401811610536,0.5784065614268891
9550485,[H]c1nc2sc(-c3c([H])c([H])c(N([H])S(=O)(=O)c4sc(Cl)c([H])c4[H])c([H])c3[H])nc2c([H])c1[H],0.6144933903061938,0.5067085845283629
2841621,[H]c1c([H])c([H])c2c(c1[H])C(=O)C(C(=O)OC([H])([H])C([H])([H])[H])=C(C([H])([H])c1c([H])c([H])c(Cl)c([H])c1[H])C2=O,0.5384663859619905,0.5367018854088705
3664863,[H]c1sc(S(=O)(=O)N(C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])c2c([H])c3sc(=O)oc3c3c([H])c([H])c([H])c([H])c23)c([H])c1[H],0.6483702802424525,0.5784065614268891
1892604,[H]c1oc(C([H])([H])n2/c(=N/C(=O)c3c([H])c([H])c(OC([H])([H])[H])c([H])c3[H])c(C#N)c([H])c3c(=O)n4c([H])c([H])c([H])c(C([H])([H])[H])c4nc32)c([H])c1[H],0.6874561021808366,0.5630750265019464
702038,[H]c1nc([H])c(C([H])([H])N([H])c2c3c(c(C#N)c4nc5c([H])c([H])c([H])c([H])c5n24)C([H])([H])C([H])([H])C3([H])[H])c([H])c1[H],0.5149626788473639,0.546982170453745
3524797,[H]c1oc(C([H])([H])n2/c(=N/C(=O)c3c([H])c([H])c([H])c([H])c3[H])c(C(=O)OC([H])([H])C([H])([H])[H])c([H])c3c(=O)n4c([H])c([H])c([H])c(C([H])([H])[H])c4nc32)c([H])c1[H],0.7070733901534979,0.5784065614268891
4522020,[H]c1oc(C([H])([H])n2/c(=N/C(=O)c3c([H])c([H])c([H])c(C([H])([H])[H])c3[H])c(C#N)c([H])c3c(=O)n4c([H])c([H])c([H])c(C([H])([H])[H])c4nc32)c([H])c1[H],0.668349559305664,0.4413910410530383
2009147,[H]c1oc(C([H])([H])N([H])C(=O)c2c(N([H])[H])n(C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3F)c3nc4c([H])c([H])c([H])c([H])c4nc23)c([H])c1[H],0.6434923139422531,0.5710042063031274
3474243,[H]N=C1Oc2c([H])c(C([H])([H])[H])n(C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c(=O)c2C([H])(c2oc([H])c([H])c2[H])C1([H])C#N,0.5671204492873902,0.5784065614268891
1881699,[H]c1oc(C([H])([H])n2c(N([H])[H])c(C(=O)N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c3nc4c([H])c([H])c([H])c([H])c4nc32)c([H])c1[H],0.5523281219566294,0.4706130791076165
5735320,[H]c1c([H])c(C2([H])n3nc(N([H])S(=O)(=O)c4c([H])c([H])c(C([H])([H])[H])c([H])c4[H])nc3N=C(C([H])([H])[H])C2([H])[H])c([H])c([H])c1Cl,0.6252868235242239,0.5203704679295457
1348924,[H]c1c([H])c([H])c(C([H])([H])n2c(N([H])C(=O)C([H])([H])C([H])([H])[H])c(S(=O)(=O)c3c([H])c([H])c([H])c([H])c3[H])c3nc4c([H])c([H])c([H])c([H])c4nc32)c([H])c1[H],0.6932913460031372,0.5784065614268891
5917493,[H]/C(=C(/C#N)C(=O)N([H])C1([H])C([H])([H])C([H])([H])S(=O)(=O)C1([H])[H])c1c(Oc2c([H])c(C([H])([H])[H])c([H])c(C([H])([H])[H])c2[H])nc2c(C([H])([H])[H])c([H])c([H])c([H])n2c1=O,0.7182684747021546,0.5590309726526418
3116773,[H]/C(=N\N([H])C(=O)C([H])([H])n1c2c([H])c([H])c([H])c([H])c2c(=O)c2c([H])c([H])c([H])c([H])c21)c1c([H])c(C([H])([H])[H])n(-c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])c1C([H])([H])[H],0.683996151898411,0.4759063656625613
